Timestamp,Opening,High,Low,Closing
2015-05-11,3388.01,3407.42,3376.7,3378.15
2015-05-08,3307.46,3393.13,3331.02,3388.01
2015-05-07,3274.34,3313.66,3223.21,3307.46
2015-05-06,3288.51,3323.95,3264.96,3274.34
2015-05-05,3371.69,3385.24,3288.51,3288.51
2015-05-04,3344.51,3388.28,3326.97,3371.69
2015-04-30,3383.21,3361.19,3307.88,3344.51
2015-04-29,3471.72,3481.06,3371.71,3383.21
2015-04-28,3560.52,3548.1,3468.32,3471.72
2015-04-27,3549.75,3563.41,3525.51,3560.52
2015-04-24,3524.6,3552.86,3531.22,3549.75
2015-04-23,3562.58,3575.19,3503.25,3524.6
2015-04-22,3619.94,3645.2,3545.31,3562.58
2015-04-21,3568.09,3627.15,3582.19,3619.94
2015-04-20,3551.66,3583.57,3553.03,3568.09
2015-04-17,3626.96,3623.87,3551.66,3551.66
2015-04-16,3637.2,3656.65,3619.61,3626.96
2015-04-15,3631.01,3667.39,3636.85,3637.2
2015-04-14,3647.13,3637.52,3599.51,3631.01
2015-04-13,3627.86,3653.6,3626.17,3647.13
2015-04-10,3585.47,3628.79,3578.64,3627.86
2015-04-09,3570.97,3585.47,3566.29,3585.47
2015-04-08,3563.57,3579.44,3558.23,3570.97
2015-04-07,3515.58,3568.02,3530.76,3563.57
2015-04-02,3506.75,3515.84,3492.49,3515.58
2015-04-01,3507.47,3524.87,3457.28,3506.75
2015-03-31,3545.47,3557.34,3497,3507.47
2015-03-30,3510.65,3546.3,3506.52,3545.47
2015-03-27,3543.36,3551.25,3505.97,3510.65
2015-03-26,3583.82,3562.74,3505.48,3543.36
2015-03-25,3609.24,3617.57,3578.09,3583.82
2015-03-24,3596.34,3611.4,3580.34,3609.24
2015-03-23,3604.29,3607.5,3581.52,3596.34
2015-03-20,3585.64,3608.33,3577.41,3604.29
2015-03-19,3554.95,3587.99,3561.73,3585.64
2015-03-18,3543.76,3564.52,3535.22,3554.95
2015-03-17,3547.5,3557.75,3514.92,3543.76
2015-03-16,3518.8,3548.89,3524.17,3547.5
2015-03-13,3519.05,3533.7,3512.86,3518.8
2015-03-12,3523.35,3544.12,3510.4,3519.05
2015-03-11,3463.36,3526.57,3468.57,3523.35
2015-03-10,3485.58,3495.39,3452.14,3463.36
2015-03-09,3478.79,3485.58,3447.28,3485.58
2015-03-06,3458.41,3487.22,3456.5,3478.79
2015-03-05,3422.33,3465.21,3425.71,3458.41
2015-03-04,3427.39,3432.93,3395.47,3422.33
2015-03-03,3452.86,3475.49,3421.17,3427.39
2015-03-02,3446.15,3475.46,3439.49,3452.86
2015-02-27,3449.81,3450.06,3423.02,3446.15
2015-02-26,3437.09,3449.81,3428.83,3449.81
2015-02-25,3443.21,3448.18,3431.57,3437.09
2015-02-24,3414.95,3446.05,3400.03,3443.21
2015-02-23,3398.8,3419.44,3391.42,3414.95
2015-02-20,3385.73,3406.62,3377.37,3398.8
2015-02-19,3389.67,3393.27,3367.5,3385.73
2015-02-18,3363.86,3389.67,3374.08,3389.67
2015-02-17,3366.01,3364.97,3330.91,3363.86
2015-02-16,3376.31,3373.63,3353.89,3366.01
2015-02-13,3351.1,3381.57,3355.67,3376.31
2015-02-12,3316.35,3362.15,3318.26,3351.1
2015-02-11,3328.34,3332.93,3311.18,3316.35
2015-02-10,3309.65,3337.27,3304.44,3328.34
2015-02-09,3356.19,3335.85,3298.56,3309.65
2015-02-06,3356.61,3361.4,3326.01,3356.19
